   ,continent     ,location             ,total_cases ,new_cases ,new_cases_smoothed ,total_deaths ,new_deaths ,new_deaths_smoothed ,total_cases_per_million ,new_cases_per_million ,new_cases_smoothed_per_million ,total_deaths_per_million ,new_deaths_per_million ,total_tests ,new_tests ,total_tests_per_thousand ,new_tests_per_thousand ,new_tests_smoothed ,new_tests_smoothed_per_thousand ,positive_rate ,stringency_index ,population   ,population_density ,median_age ,aged_65_older ,aged_70_older ,gdp_per_capita ,extreme_poverty ,cardiovasc_death_rate ,diabetes_prevalence ,female_smokers ,male_smokers ,hospital_beds_per_thousand ,life_expectancy ,human_development_index
53 ,Oceania       ,New Zealand          ,1612.0      ,5.0       ,3.857              ,25.0         ,0.0        ,0.0                 ,334.285                 ,1.037                 ,0.8                            ,5.184                    ,0.0                    ,1113739.0   ,7171.0    ,230.959                  ,1.487                  ,5416.0             ,1.123                           ,0.001         ,22.22            ,4822233.0    ,18.206             ,37.9       ,15.322        ,9.72          ,36085.843      ,                ,128.797               ,8.08                ,14.8           ,17.2         ,2.61                       ,82.29           ,0.917
54 ,Europe        ,Norway               ,20634.0     ,1071.0    ,389.429            ,282.0        ,0.0        ,0.429               ,3806.139                ,197.556               ,71.834                         ,52.018                   ,0.0                    ,1777598.0   ,27345.0   ,327.895                  ,5.044                  ,19715.0            ,3.637                           ,0.02          ,39.81            ,5421242.0    ,14.462             ,39.7       ,16.821        ,10.813        ,64800.057      ,0.2             ,114.316               ,5.31                ,19.6           ,20.7         ,3.6                        ,82.4            ,0.953
55 ,Asia          ,Pakistan             ,336260.0    ,1167.0    ,983.571            ,6849.0       ,14.0       ,14.857              ,1522.28                 ,5.283                 ,4.453                          ,31.006                   ,0.063                  ,4514827.0   ,27984.0   ,20.439                   ,0.127                  ,28164.0            ,0.128                           ,0.035         ,53.24            ,220892331.0  ,255.573            ,23.5       ,4.495         ,2.78          ,5034.708       ,4.0             ,423.031               ,8.35                ,2.8            ,36.7         ,0.6                        ,67.27           ,0.562
56 ,North America ,Panama               ,134915.0    ,579.0     ,737.714            ,2720.0       ,14.0       ,11.714              ,31268.193               ,134.19                ,170.974                        ,630.393                  ,3.245                  ,683148.0    ,5790.0    ,158.328                  ,1.342                  ,6896.0             ,1.598                           ,0.107         ,58.33            ,4314768.0    ,55.133             ,29.7       ,7.918         ,5.03          ,22267.037      ,2.2             ,128.346               ,8.33                ,2.4            ,9.9          ,2.3                        ,78.51           ,0.789
57 ,South America ,Paraguay             ,64156.0     ,425.0     ,651.714            ,1429.0       ,11.0       ,17.143              ,8994.845                ,59.586                ,91.372                         ,200.35                   ,1.542                  ,371762.0    ,3003.0    ,52.122                   ,0.421                  ,2722.0             ,0.382                           ,0.239         ,62.04            ,7132530.0    ,17.144             ,26.5       ,6.378         ,3.833         ,8827.01        ,1.7             ,199.128               ,8.27                ,5.0            ,21.6         ,1.3                        ,74.25           ,0.7020000000000001
58 ,Asia          ,Philippines          ,385400.0    ,2287.0    ,1967.143           ,7269.0       ,31.0       ,32.857              ,3517.03                 ,20.87                 ,17.951                         ,66.334                   ,0.283                  ,4635824.0   ,21683.0   ,42.305                   ,0.198                  ,28830.0            ,0.263                           ,0.068         ,                 ,109581085.0  ,351.873            ,25.2       ,4.803         ,2.661         ,7599.188       ,                ,370.437               ,7.07                ,7.8            ,40.8         ,1.0                        ,71.23           ,0.6990000000000001
59 ,Europe        ,Poland               ,395480.0    ,15578.0   ,18793.0            ,5875.0       ,92.0       ,198.857             ,10449.55                ,411.609               ,496.557                        ,155.232                  ,2.431                  ,4712224.0   ,62988.0   ,124.508                  ,1.664                  ,62254.0            ,1.645                           ,0.302         ,71.3             ,37846605.0   ,124.027            ,41.8       ,16.763        ,10.202        ,27216.445      ,                ,227.331               ,5.91                ,23.3           ,33.1         ,6.62                       ,78.73           ,0.865
60 ,Europe        ,Portugal             ,146847.0    ,2506.0    ,3673.429           ,2590.0       ,46.0       ,35.286              ,14401.414               ,245.766               ,360.256                        ,254.004                  ,4.511                  ,3564208.0   ,40632.0   ,349.545                  ,3.985                  ,33354.0            ,3.271                           ,0.11          ,62.96            ,10196707.0   ,112.371            ,46.2       ,21.502        ,14.924        ,27936.896      ,0.5             ,127.842               ,9.85                ,16.3           ,30.0         ,3.39                       ,82.05           ,0.847
61 ,Asia          ,Qatar                ,132917.0    ,197.0     ,212.143            ,232.0        ,0.0        ,0.286               ,46134.756               ,68.378                ,73.634                         ,80.526                   ,0.0                    ,989992.0    ,5680.0    ,343.621                  ,1.971                  ,5709.0             ,1.982                           ,0.037         ,64.81            ,2881060.0    ,227.322            ,31.9       ,1.307         ,0.617         ,116935.6       ,                ,176.69                ,16.52               ,0.8            ,26.9         ,1.2                        ,80.23           ,0.856
62 ,Europe        ,Romania              ,250704.0    ,4041.0    ,5458.857           ,7153.0       ,86.0       ,97.571              ,13031.923               ,210.056               ,283.759                        ,371.822                  ,4.47                   ,3305309.0   ,          ,171.814                  ,                       ,29826.0            ,1.55                            ,0.183         ,54.63            ,19237682.0   ,85.129             ,43.0       ,17.85         ,11.69         ,23313.199      ,5.7             ,370.946               ,9.74                ,22.9           ,37.1         ,6.892                      ,76.05           ,0.8109999999999999
63 ,Europe        ,Russia               ,1655038.0   ,18257.0   ,17687.714          ,28473.0      ,238.0      ,314.857             ,11340.968               ,125.104               ,121.203                        ,195.108                  ,1.631                  ,62446013.0  ,491447.0  ,427.905                  ,3.368                  ,530743.0           ,3.637                           ,0.033         ,44.91            ,145934460.0  ,8.823              ,39.6       ,14.178        ,9.393         ,24765.954      ,0.1             ,431.297               ,6.18                ,23.4           ,58.3         ,8.05                       ,72.58           ,0.816
64 ,Africa        ,Rwanda               ,5155.0      ,9.0       ,11.714             ,35.0         ,0.0        ,0.143               ,398.002                 ,0.695                 ,0.904                          ,2.702                    ,0.0                    ,560287.0    ,1310.0    ,43.258                   ,0.101                  ,1621.0             ,0.125                           ,0.007         ,69.44            ,12952209.0   ,494.869            ,20.3       ,2.974         ,1.642         ,1854.211       ,56.0            ,191.375               ,4.28                ,4.7            ,21.0         ,                           ,69.02           ,0.524
65 ,Asia          ,Saudi Arabia         ,348037.0    ,381.0     ,400.714            ,5437.0       ,35.0       ,17.714              ,9997.08                 ,10.944                ,11.51                          ,156.173                  ,1.005                  ,8273947.0   ,63664.0   ,237.662                  ,1.829                  ,54976.0            ,1.579                           ,0.007         ,                 ,34813867.0   ,15.322             ,31.9       ,3.295         ,1.845         ,49045.411      ,                ,259.538               ,17.72               ,1.8            ,25.4         ,2.7                        ,75.13           ,0.853
66 ,Africa        ,Senegal              ,15637.0     ,7.0       ,10.286             ,325.0        ,0.0        ,0.429               ,933.891                 ,0.418                 ,0.614                          ,19.41                    ,0.0                    ,217808.0    ,400.0     ,13.008                   ,0.024                  ,751.0              ,0.045                           ,0.014         ,                 ,16743930.0   ,82.328             ,18.7       ,3.008         ,1.796         ,2470.58        ,38.0            ,241.219               ,2.42                ,0.4            ,16.6         ,                           ,67.94           ,0.505
67 ,Europe        ,Serbia               ,49205.0     ,802.0     ,1339.714           ,833.0        ,7.0        ,5.714               ,7231.142                ,117.862               ,196.884                        ,122.417                  ,1.029                  ,1363619.0   ,10962.0   ,200.397                  ,1.611                  ,9239.0             ,1.358                           ,0.145         ,                 ,6804596.0    ,80.291             ,41.2       ,17.366        ,              ,14048.881      ,                ,439.415               ,10.08               ,37.7           ,40.2         ,5.609                      ,76.0            ,0.787
68 ,Europe        ,Slovakia             ,61829.0     ,1883.0    ,2382.0             ,219.0        ,0.0        ,7.714               ,11324.733               ,344.894               ,436.292                        ,40.113                   ,0.0                    ,845615.0    ,13377.0   ,154.885                  ,2.45                   ,17826.0            ,3.265                           ,0.134         ,73.15            ,5459643.0    ,113.128            ,41.2       ,15.07         ,9.167         ,30155.152      ,0.7             ,287.959               ,7.29                ,23.1           ,37.7         ,5.82                       ,77.54           ,0.855
69 ,Europe        ,Slovenia             ,36206.0     ,557.0     ,1732.286           ,251.0        ,15.0       ,9.0                 ,17415.673               ,267.926               ,833.258                        ,120.735                  ,7.215                  ,380559.0    ,6311.0    ,183.055                  ,3.036                  ,5461.0             ,2.627                           ,0.317         ,68.52            ,2078932.0    ,102.619            ,44.5       ,19.062        ,12.93         ,31400.84       ,                ,153.493               ,7.25                ,20.1           ,25.0         ,4.5                        ,81.32           ,0.8959999999999999
