,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index
125,Europe,Netherlands,367715.0,8278.0,9495.143,7453.0,29.0,55.857,21460.036,483.108,554.141,434.961,1.692,62.04,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,3.32,82.28,0.9309999999999999
126,Europe,Norway,20634.0,1071.0,389.42900000000003,282.0,0.0,0.429,3806.139,197.55599999999998,71.834,52.018,0.0,39.81,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,3.6,82.4,0.953
127,Asia,Nepal,176500.0,2933.0,2381.429,984.0,24.0,17.429000000000002,6057.63,100.663,81.733,33.772,0.8240000000000001,62.04,29136808.0,204.43,25.0,5.809,3.2119999999999997,2442.804,15.0,260.797,7.26,0.3,70.78,0.574
128,Oceania,New Zealand,1612.0,5.0,3.8569999999999998,25.0,0.0,0.0,334.285,1.037,0.8,5.184,0.0,22.22,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,,128.797,8.08,2.61,82.29,0.917
129,Asia,Oman,116152.0,418.0,399.714,1256.0,10.0,9.429,22745.369,81.855,78.274,245.955,1.9580000000000002,,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,1.6,77.86,0.821
130,Asia,Pakistan,336260.0,1167.0,983.571,6849.0,14.0,14.857000000000001,1522.28,5.2829999999999995,4.453,31.006,0.063,53.24,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,0.6,67.27,0.562
131,North America,Panama,134915.0,579.0,737.7139999999999,2720.0,14.0,11.714,31268.193,134.19,170.97400000000002,630.393,3.245,58.33,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,2.2,128.346,8.33,2.3,78.51,0.789
132,South America,Peru,906545.0,1634.0,2281.571,34585.0,56.0,55.428999999999995,27494.517999999996,49.556999999999995,69.19800000000001,1048.925,1.6980000000000002,,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,1.6,76.74,0.75
133,Asia,Philippines,385400.0,2287.0,1967.1429999999998,7269.0,31.0,32.857,3517.03,20.87,17.951,66.334,0.28300000000000003,,109581085.0,351.87300000000005,25.2,4.803,2.661,7599.188,,370.43699999999995,7.07,1.0,71.23,0.6990000000000001
134,Oceania,Papua New Guinea,590.0,0.0,0.28600000000000003,7.0,0.0,0.0,65.944,0.0,0.032,0.782,0.0,41.67,8947027.0,18.22,22.6,3.8080000000000003,2.142,3823.1940000000004,,561.494,17.65,,64.5,0.544
135,Europe,Poland,395480.0,15578.0,18793.0,5875.0,92.0,198.857,10449.55,411.60900000000004,496.55699999999996,155.232,2.431,71.3,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,227.331,5.91,6.62,78.73,0.865
136,Europe,Portugal,146847.0,2506.0,3673.429,2590.0,46.0,35.286,14401.413999999999,245.766,360.256,254.00400000000002,4.511,62.96,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,3.39,82.05,0.847
