"","location","continent","development","total_cases_per_million","new_cases_per_million","total_deaths_per_million","stringency_index","population","population_density","median_age","aged_65_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","hospital_beds_per_thousand","life_expectancy","human_development_index"
"168","Turkey","Asia","high",4502.955,27.295,123.335,81.94,84339067,104.914,31.6,8.153,25129.341,0.2,171.285,12.13,2.81,77.69,0.791
"169","Tanzania","Africa","low",8.521,0,0.352,13.89,59734213,64.699,17.7,3.108,2683.304,49.1,217.288,5.75,0.7,65.46,0.538
"170","Uganda","Africa","low",283.575,4.985,2.492,57.41,45741000,213.759,16.4,2.168,1697.707,41.6,213.333,2.5,0.5,63.37,0.516
"171","Ukraine","Europe","high",9196.42,154.434,168.634,58.8,43733759,77.39,41.4,16.462,7894.393,0.1,539.849,7.11,8.8,72.06,0.751
"172","Uruguay","South America","very high",911.125,4.606,17.273,73.15,3473727,19.751,35.6,14.655,20551.409,0.1,160.708,6.93,2.8,77.91,0.804
"173","United States","North America","very high",28070.002,253.421,699.544,62.5,331002647,35.608,38.3,15.413,54225.446,1.2,151.089,10.79,2.77,78.86,0.924
"174","Uzbekistan","Asia","high",2009.43,2.928,17.06,50.93,33469199,76.134,28.2,4.469,6253.104,1.1,724.417,7.57,4,71.72,0.71
"175","Saint Vincent and the Grenadines","North America","high",675.998,0,2.492,52.78,110947,281.787,31.8,7.724,10727.146,1.5,252.675,11.62,2.6,72.53,0.723
"176","Venezuela","South America","high",3260.135,13.363,28.309,84.26,28435943,36.253,29,6.614,16745.022,1.5,204.85,6.47,0.8,72.06,0.761
"177","Vietnam","Asia","medium",12.246,0.123,0.36,45.37,97338583,308.127,32.6,7.15,6171.884,2,245.465,6,2.6,75.4,0.694
"178","Yemen","Asia","low",69.168,0,20.117,24.07,29825968,53.508,20.3,2.922,1479.147,18.8,495.003,5.35,0.7,66.12,0.452
"179","South Africa","Africa","medium",12267.932,13.017,328.198,87.04,59308690,46.754,27.3,5.344,12294.876,18.9,200.38,5.52,2.32,64.13,0.699
"180","Zambia","Africa","medium",899.861,3.427,18.984,41.67,18383956,22.995,17.7,2.48,3689.251,57.5,234.499,3.94,2,63.89,0.588
"181","Zimbabwe","Africa","low",564.424,1.009,16.484,71.3,14862927,42.729,19.6,2.822,1899.775,21.4,307.846,1.82,1.7,61.49,0.535
