,iso_code,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
43333,LCA      ,North America ,Saint Lucia                      ,162.0       ,2.0       ,5.571              ,2.0          ,0.0        ,0.286               ,882.214                 ,10.892                ,30.341                         ,10.892                   ,0.0                    ,1.556                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,183629.0,293.187            ,34.9       ,9.721         ,6.405         ,12951.839      ,                ,204.62                ,11.62               ,               ,             ,87.202                 ,1.3                        ,76.2,0.747
43576,VCT      ,North America ,Saint Vincent and the Grenadines ,78.0        ,0.0       ,0.286              ,             ,0.0        ,0.0                 ,703.038                 ,0.0                   ,2.575                          ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,110947.0,281.787            ,31.8       ,7.724         ,4.832         ,10727.146      ,                ,252.675               ,11.62               ,               ,             ,                       ,2.6                        ,72.53,0.723
43897,SMR      ,Europe        ,San Marino                       ,1253.0      ,0.0       ,30.0               ,42.0         ,0.0        ,0.0                 ,36920.266               ,0.0                   ,883.965                        ,1237.551                 ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,33938.0,556.667            ,           ,              ,              ,56861.47       ,                ,                      ,5.64                ,               ,             ,                       ,3.8                        ,84.97,
44118,STP      ,Africa        ,Sao Tome and Principe            ,964.0       ,1.0       ,0.286              ,16.0         ,0.0        ,0.0                 ,4398.593                ,4.563                 ,1.304                          ,73.006                   ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,219161.0,212.841            ,18.7       ,2.886         ,2.162         ,3052.714       ,32.3            ,270.113               ,2.42                ,               ,             ,41.34                  ,2.9                        ,70.39,0.589
44377,SAU      ,Asia          ,Saudi Arabia                     ,352950.0    ,349.0     ,388.714            ,5641.0       ,16.0       ,16.571              ,10138.202               ,10.025                ,11.166                         ,162.033                  ,0.46                   ,0.476                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,34813867.0,15.322             ,31.9       ,3.295         ,1.845         ,49045.411      ,                ,259.538               ,17.72               ,1.8            ,25.4         ,                       ,2.7                        ,75.13,0.853
44639,SEN      ,Africa        ,Senegal                          ,15779.0     ,24.0      ,12.286             ,327.0        ,1.0        ,0.143               ,942.371                 ,1.433                 ,0.734                          ,19.529                   ,0.06                   ,0.009                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,16743930.0,82.328             ,18.7       ,3.008         ,1.796         ,2470.58        ,38.0            ,241.219               ,2.42                ,0.4            ,16.6         ,20.859                 ,                           ,67.94,0.505
44903,SRB      ,Europe        ,Serbia                           ,81086.0     ,3822.0    ,2921.571           ,989.0        ,17.0       ,15.571              ,11916.358               ,561.679               ,429.353                        ,145.343                  ,2.498                  ,2.288                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,6804596.0,80.291             ,41.2       ,17.366        ,              ,14048.881      ,                ,439.415               ,10.08               ,37.7           ,40.2         ,97.719                 ,5.609                      ,76.0,0.787
45149,SYC      ,Africa        ,Seychelles                       ,158.0       ,0.0       ,0.0                ,             ,0.0        ,0.0                 ,1606.671                ,0.0                   ,0.0                            ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,98340.0,208.354            ,36.2       ,8.606         ,5.586         ,26382.287      ,1.1             ,242.648               ,10.55               ,7.1            ,35.7         ,                       ,3.6                        ,73.4,0.797
45378,SLE      ,Africa        ,Sierra Leone                     ,2391.0      ,2.0       ,1.429              ,74.0         ,0.0        ,0.0                 ,299.737                 ,0.251                 ,0.179                          ,9.277                    ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,7976985.0,104.7              ,19.1       ,2.538         ,1.285         ,1390.3         ,52.2            ,325.721               ,2.42                ,8.8            ,41.3         ,19.275                 ,                           ,54.7,0.419
45699,SGP      ,Asia          ,Singapore                        ,58116.0     ,2.0       ,8.857              ,28.0         ,0.0        ,0.0                 ,9933.777                ,0.342                 ,1.514                          ,4.786                    ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,5850343.0,7915.731           ,42.4       ,12.922        ,7.049         ,85535.383      ,                ,92.243                ,10.99               ,5.2            ,28.3         ,                       ,2.4                        ,83.62,0.932
45952,SXM      ,North America ,Sint Maarten (Dutch part)        ,923.0       ,0.0       ,5.286              ,24.0         ,0.0        ,0.143               ,21524.183               ,0.0                   ,123.262                        ,559.675                  ,0.0                    ,3.331                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,42882.0,1209.088           ,           ,              ,              ,36327.232      ,                ,                      ,                    ,               ,             ,                       ,                           ,78.95,
46207,SVK      ,Europe        ,Slovakia                         ,85567.0     ,1771.0    ,1700.0             ,510.0        ,19.0       ,22.714              ,15672.636               ,324.38                ,311.376                        ,93.413                   ,3.48                   ,4.16                            ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,5459643.0,113.128            ,41.2       ,15.07         ,9.167         ,30155.152      ,0.7             ,287.959               ,7.29                ,23.1           ,37.7         ,                       ,5.82                       ,77.54,0.855
46463,SVN      ,Europe        ,Slovenia                         ,54122.0     ,1737.0    ,1407.286           ,500.0        ,19.0       ,17.429              ,26033.56                ,835.525               ,676.927                        ,240.508                  ,9.139                  ,8.383                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,2078932.0,102.619            ,44.5       ,19.062        ,12.93         ,31400.84       ,                ,153.493               ,7.25                ,20.1           ,25.0         ,                       ,4.5                        ,81.32,0.8959999999999999
46494,SLB      ,Oceania       ,Solomon Islands                  ,16.0        ,0.0       ,0.429              ,             ,0.0        ,0.0                 ,23.294                  ,0.0                   ,0.624                          ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,686878.0,21.841             ,20.8       ,3.507         ,2.043         ,2205.923       ,25.1            ,459.78                ,18.68               ,               ,             ,35.89                  ,1.4                        ,73.0,0.546
46738,SOM      ,Africa        ,Somalia                          ,4301.0      ,0.0       ,10.286             ,107.0        ,0.0        ,0.0                 ,270.619                 ,0.0                   ,0.647                          ,6.732                    ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,15893219.0,23.5               ,16.8       ,2.731         ,1.496         ,               ,                ,365.769               ,6.05                ,               ,             ,9.831                  ,0.9                        ,57.4,
47021,ZAF      ,Africa        ,South Africa                     ,749182.0    ,2237.0    ,1896.571           ,20206.0      ,53.0       ,59.571              ,12631.909               ,37.718                ,31.978                         ,340.692                  ,0.894                  ,1.004                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,59308690.0,46.754             ,27.3       ,5.344         ,3.053         ,12294.876      ,18.9            ,200.38                ,5.52                ,8.1            ,33.2         ,43.993                 ,2.32                       ,64.13,0.6990000000000001
47342,KOR      ,Asia          ,South Korea                      ,28546.0     ,208.0     ,159.857            ,493.0        ,1.0        ,2.143               ,556.787                 ,4.057                 ,3.118                          ,9.616                    ,0.02                   ,0.042                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,51269183.0,527.967            ,43.4       ,13.914        ,8.622         ,35938.374      ,0.2             ,85.998                ,6.8                 ,6.2            ,40.9         ,                       ,12.27                      ,83.03,0.903
47566,SSD      ,Africa        ,South Sudan                      ,3003.0      ,23.0      ,6.857              ,59.0         ,0.0        ,0.0                 ,268.275                 ,2.055                 ,0.613                          ,5.271                    ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,11193729.0,                   ,19.2       ,3.441         ,2.032         ,1569.888       ,                ,280.775               ,10.43               ,               ,             ,                       ,                           ,57.85,0.38799999999999996
48207,LKA      ,Asia          ,Sri Lanka                        ,16583.0     ,392.0     ,452.0              ,53.0         ,0.0        ,2.714               ,774.427                 ,18.306                ,21.108                         ,2.475                    ,0.0                    ,0.127                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,21413250.0,341.955            ,34.1       ,10.069        ,5.331         ,11669.077      ,0.7             ,197.093               ,10.68               ,0.3            ,27.0         ,                       ,3.6                        ,76.98,0.77
48454,SDN      ,Africa        ,Sudan                            ,14401.0     ,0.0       ,65.429             ,1116.0       ,0.0        ,39.857              ,328.421                 ,0.0                   ,1.492                          ,25.451                   ,0.0                    ,0.909                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,43849269.0,23.258             ,19.7       ,3.548         ,2.034         ,4466.507       ,                ,431.388               ,15.67               ,               ,             ,23.437                 ,0.8                        ,65.31,0.502
48695,SUR      ,South America ,Suriname                         ,5274.0      ,6.0       ,5.714              ,114.0        ,0.0        ,0.143               ,8990.273                ,10.228                ,9.741                          ,194.329                  ,0.0                    ,0.244                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,586634.0,3.612              ,29.6       ,6.933         ,4.229         ,13767.119      ,                ,258.314               ,12.54               ,7.4            ,42.9         ,67.779                 ,3.1                        ,71.68,0.72
48941,SWZ      ,Africa        ,Swaziland                        ,6093.0      ,17.0      ,14.857             ,119.0        ,1.0        ,0.286               ,5251.844                ,14.653                ,12.806                         ,102.572                  ,0.862                  ,0.246                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,1160164.0,79.492             ,21.5       ,3.163         ,1.845         ,7738.975       ,                ,333.436               ,3.94                ,1.7            ,16.5         ,24.097                 ,2.1                        ,60.19,0.588
49581,CHE      ,Europe        ,Switzerland                      ,256186.0    ,0.0       ,6432.286           ,2956.0       ,0.0        ,78.857              ,29601.075               ,0.0                   ,743.22                         ,341.552                  ,0.0                    ,9.112                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,8654618.0    ,214.243            ,43.1       ,18.436        ,12.644        ,57410.166      ,                ,99.739                ,5.59                ,22.6           ,28.9         ,                       ,4.53                       ,83.78           ,0.9440000000000001
49819,SYR      ,Asia          ,Syria                            ,6613.0      ,61.0      ,66.571             ,341.0        ,4.0        ,4.0                 ,377.872                 ,3.486                 ,3.804                          ,19.485                   ,0.229                  ,0.229                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,17500657.0   ,                   ,21.7       ,              ,2.577         ,               ,                ,376.264               ,                    ,               ,             ,70.598                 ,1.5                        ,72.7            ,0.536
50140,TWN      ,Asia          ,Taiwan                           ,602.0       ,2.0       ,3.571              ,7.0          ,0.0        ,0.0                 ,25.276                  ,0.084                 ,0.15                           ,0.294                    ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,23816775.0   ,                   ,42.2       ,              ,8.353         ,               ,                ,103.957               ,                    ,               ,             ,                       ,                           ,80.46           ,
50339,TJK      ,Asia          ,Tajikistan                       ,11573.0     ,39.0      ,45.286             ,85.0         ,0.0        ,0.286               ,1213.403                ,4.089                 ,4.748                          ,8.912                    ,0.0                    ,0.03                            ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,9537642.0    ,64.281             ,23.3       ,3.466         ,2.155         ,2896.913       ,4.8             ,427.698               ,7.11                ,               ,             ,72.704                 ,4.8                        ,71.1            ,0.65
50583,TZA      ,Africa        ,Tanzania                         ,509.0       ,0.0       ,0.0                ,21.0         ,0.0        ,0.0                 ,8.521                   ,0.0                   ,0.0                            ,0.352                    ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,59734213.0   ,64.699             ,17.7       ,3.108         ,1.874         ,2683.304       ,49.1            ,217.288               ,5.75                ,3.3            ,26.7         ,47.953                 ,0.7                        ,65.46           ,0.5379999999999999
50904,THA      ,Asia          ,Thailand                         ,3874.0      ,8.0       ,5.286              ,60.0         ,0.0        ,0.0                 ,55.501                  ,0.115                 ,0.076                          ,0.86                     ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,43.52            ,69799978.0   ,135.132            ,40.1       ,11.373        ,6.89          ,16277.671      ,0.1             ,109.861               ,7.04                ,1.9            ,38.8         ,90.67                  ,2.1                        ,77.15           ,0.755
51143,TLS      ,Asia          ,Timor                            ,30.0        ,0.0       ,0.0                ,             ,0.0        ,0.0                 ,22.754                  ,0.0                   ,0.0                            ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,1318442.0    ,87.176             ,18.0       ,3.556         ,1.897         ,6570.102       ,30.3            ,335.346               ,6.86                ,6.3            ,78.1         ,28.178                 ,5.9                        ,69.5            ,0.625
51400,TGO      ,Africa        ,Togo                             ,2651.0      ,24.0      ,24.0               ,61.0         ,1.0        ,0.571               ,320.218                 ,2.899                 ,2.899                          ,7.368                    ,0.121                  ,0.069                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,8278737.0    ,143.366            ,19.4       ,2.839         ,1.525         ,1429.813       ,49.2            ,280.033               ,6.15                ,0.9            ,14.2         ,10.475                 ,0.7                        ,61.04           ,0.503
51648,TTO      ,North America ,Trinidad and Tobago              ,6077.0      ,97.0      ,34.143             ,112.0        ,1.0        ,0.143               ,4342.293                ,69.311                ,24.397                         ,80.029                   ,0.715                  ,0.102                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,1399491.0    ,266.886            ,36.2       ,10.014        ,5.819         ,28763.071      ,                ,228.467               ,10.97               ,               ,             ,89.443                 ,3.0                        ,73.51           ,0.784
51901,TUN      ,Africa        ,Tunisia                          ,79339.0     ,1671.0    ,1399.429           ,2279.0       ,70.0       ,69.286              ,6713.052                ,141.387               ,118.409                        ,192.831                  ,5.923                  ,5.862                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,11818618.0   ,74.228             ,32.7       ,8.001         ,5.075         ,10849.297      ,2.0             ,318.991               ,8.52                ,1.1            ,65.8         ,78.687                 ,2.3                        ,76.7            ,0.735
52148,TUR      ,Asia          ,Turkey                           ,411055.0    ,3116.0    ,2759.429           ,11418.0      ,92.0       ,87.857              ,4873.839                ,36.946                ,32.718                         ,135.382                  ,1.091                  ,1.042                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,84339067.0   ,104.914            ,31.6       ,8.153         ,5.061         ,25129.341      ,0.2             ,171.285               ,12.13               ,14.1           ,41.1         ,                       ,2.81                       ,77.69           ,0.7909999999999999
52384,TCA      ,North America ,Turks and Caicos Islands         ,720.0       ,4.0       ,1.857              ,6.0          ,0.0        ,0.0                 ,18596.002               ,103.311               ,47.966                         ,154.967                  ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,38718.0      ,37.312             ,           ,              ,              ,               ,                ,                      ,                    ,               ,             ,                       ,                           ,80.22           ,
52623,UGA      ,Africa        ,Uganda                           ,15402.0     ,0.0       ,190.857            ,144.0        ,0.0        ,1.857               ,336.722                 ,0.0                   ,4.173                          ,3.148                    ,0.0                    ,0.041                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,45741000.0   ,213.759            ,16.4       ,2.168         ,1.308         ,1697.707       ,41.6            ,213.333               ,2.5                 ,3.4            ,16.7         ,21.222                 ,0.5                        ,63.37           ,0.516
52875,UKR      ,Europe        ,Ukraine                          ,525176.0    ,12524.0   ,10606.0            ,9508.0       ,191.0      ,170.857             ,12008.481               ,286.369               ,242.513                        ,217.406                  ,4.367                  ,3.907                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,43733759.0   ,77.39              ,41.4       ,16.462        ,11.133        ,7894.393       ,0.1             ,539.849               ,7.11                ,13.5           ,47.4         ,                       ,8.8                        ,72.06           ,0.7509999999999999
53196,ARE      ,Asia          ,United Arab Emirates             ,149135.0    ,1174.0    ,1157.571           ,528.0        ,0.0        ,2.0                 ,15078.763               ,118.701               ,117.04                         ,53.385                   ,0.0                    ,0.202                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,9890400.0    ,112.442            ,34.0       ,1.144         ,0.526         ,67293.483      ,                ,317.84                ,17.26               ,1.2            ,37.4         ,                       ,1.2                        ,77.97           ,0.863
53517,GBR      ,Europe        ,United Kingdom                   ,1344356.0   ,26860.0   ,24702.143          ,51766.0      ,462.0      ,411.143             ,19803.139               ,395.663               ,363.877                        ,762.543                  ,6.806                  ,6.056                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,67886004.0   ,272.898            ,40.8       ,18.517        ,12.527        ,39753.244      ,0.2             ,122.137               ,4.28                ,20.0           ,24.7         ,                       ,2.54                       ,81.32           ,0.922
53838,USA      ,North America ,United States                    ,10904891.0  ,165277.0  ,149133.286         ,245600.0     ,1255.0     ,1212.429            ,32945.027               ,499.322               ,450.55                         ,741.988                  ,3.792                  ,3.663                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,331002647.0  ,35.608             ,38.3       ,15.413        ,9.732         ,54225.446      ,1.2             ,151.089               ,10.79               ,19.1           ,24.6         ,                       ,2.77                       ,78.86           ,0.924
54075,VIR      ,North America ,United States Virgin Islands     ,1434.0      ,24.0      ,4.143              ,23.0         ,0.0        ,0.0                 ,13732.607               ,229.834               ,39.674                         ,220.258                  ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,104423.0     ,306.48             ,42.2       ,18.601        ,10.799        ,               ,                ,273.67                ,12.26               ,               ,             ,                       ,                           ,80.58           ,
54321,URY      ,South America ,Uruguay                          ,3957.0      ,74.0      ,73.714             ,64.0         ,0.0        ,0.429               ,1139.122                ,21.303                ,21.221                         ,18.424                   ,0.0                    ,0.123                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,3473727.0    ,19.751             ,35.6       ,14.655        ,10.361        ,20551.409      ,0.1             ,160.708               ,6.93                ,14.0           ,19.9         ,                       ,2.8                        ,77.91           ,0.804
54566,UZB      ,Asia          ,Uzbekistan                       ,69680.0     ,0.0       ,187.571            ,594.0        ,0.0        ,1.857               ,2081.914                ,0.0                   ,5.604                          ,17.748                   ,0.0                    ,0.055                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,33469199.0   ,76.134             ,28.2       ,4.469         ,2.873         ,6253.104       ,                ,724.417               ,7.57                ,1.3            ,24.7         ,                       ,4.0                        ,71.72           ,0.71
54571,VUT      ,Oceania       ,Vanuatu                          ,1.0         ,0.0       ,                   ,             ,0.0        ,                    ,3.256                   ,0.0                   ,                               ,                         ,0.0                    ,                                ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,307150.0     ,22.662             ,23.1       ,4.394         ,2.62          ,2921.909       ,13.2            ,546.3                 ,12.02               ,2.8            ,34.5         ,25.209                 ,                           ,70.47           ,0.603
54820,VAT      ,Europe        ,Vatican                          ,26.0        ,0.0       ,0.0                ,             ,0.0        ,0.0                 ,32138.443               ,0.0                   ,0.0                            ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,809.0        ,                   ,           ,              ,              ,               ,                ,                      ,                    ,               ,             ,                       ,                           ,75.12           ,
55066,VEN      ,South America ,Venezuela                        ,96441.0     ,301.0     ,305.143            ,844.0        ,3.0        ,3.286               ,3391.518                ,10.585                ,10.731                         ,29.681                   ,0.106                  ,0.116                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,28435943.0   ,36.253             ,29.0       ,6.614         ,3.915         ,16745.022      ,                ,204.85                ,6.47                ,               ,             ,                       ,0.8                        ,72.06           ,0.7609999999999999
55387,VNM      ,Asia          ,Vietnam                          ,1265.0      ,9.0       ,7.429              ,35.0         ,0.0        ,0.0                 ,12.996                  ,0.092                 ,0.076                          ,0.36                     ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,97338583.0   ,308.127            ,32.6       ,7.15          ,4.718         ,6171.884       ,2.0             ,245.465               ,6.0                 ,1.0            ,45.9         ,85.847                 ,2.6                        ,75.4            ,0.6940000000000001
